Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_51_P190124,Med23,NM_027347,0.3706499,11.924,12.403,11.994,12.452,13.06,12.424
A_51_P260098,Gcdh,U18992,0.3706499,11.881,11.877,12.338,12.194,12.617,12.569
A_51_P323518,Cend1,NM_021316,0.3706499,12.66,12.447,12.824,12.721,13.403,13.483
A_51_P415220,Zmat3,NM_009517,0.3706499,11.696,12.024,11.895,11.976,12.318,12.581
A_51_P417399,Atp5g2,NM_026468,0.3706499,14.77,13.999,14.582,14.794,15.084,15.048
A_52_P294540,Nalcn,NM_177393,0.3706499,7.016,7.083,7.16,6.573,6.845,7.004
A_52_P373938,Gpd2,NM_001145820,0.3706499,13.046,13.132,12.695,12.866,11.664,11.792
A_52_P377693,Fsd1,NM_183178,0.3706499,11.013,10.792,10.847,10.942,12.125,11.953
A_52_P47255,Gmps,NM_001033300,0.3706499,8.966,9.482,8.789,9.426,9.717,9.515
A_52_P647488,Zfp638,AK081596,0.3706499,7.759,7.355,7.39,7.61,8.646,8.367
A_51_P389447,Wash1,NM_026833,0.3706996,11.622,11.669,11.92,12.093,11.865,11.97
A_51_P476879,Olfml1,NM_172907,0.3706996,8.657,8.327,8.609,8.698,9.096,8.796
A_52_P16356,,AK013505,0.3706996,7.323,7.151,7.919,8.204,7.735,8.261
A_52_P771402,,AK048476,0.3706996,8.262,8.305,7.653,8.364,8.604,8.816
A_52_P484691,Mrpl49,NM_026246,0.370776,11.757,11.6,12.018,11.92,12.224,12.252
A_51_P167263,Cd5,NM_007650,0.3708215,6.552,6.566,6.509,6.593,7.803,7.577
A_51_P208862,Wdr92,NM_178909,0.3708215,10.081,10.437,11.072,11.181,11.277,11.021
A_51_P418725,Plekhf1,NM_024413,0.3708215,9.331,9.186,8.825,9.214,10.919,10.862
A_51_P459070,Aplf,NM_024251,0.3708215,8.879,9.328,9.095,9.613,9.645,9.225
A_52_P325621,Mgmt,AK090389,0.3708215,6.643,7.09,6.461,6.918,7.676,7.44
A_52_P523330,Tmem147,NM_027215,0.3708215,12.157,11.589,12.624,12.397,13.378,13.464
A_52_P541095,Unc5a,NM_153131,0.3708215,14.23,13.949,14.366,14.09,13.162,12.942
A_52_P569218,Utrn,NM_011682,0.3708215,10.75,10.783,11.355,11.215,11.605,12.092
A_52_P92121,Ankrd33b,NM_001164441,0.3708215,11.798,11.637,10.851,11.235,8.979,8.9
A_51_P262340,Rbm3,NM_001166409,0.3708869,13.779,14.087,13.451,14.154,14.24,14.107
A_51_P437559,Timeless,NM_011589,0.370909,7.367,7.543,7.778,7.64,8.664,8.676
A_52_P188070,,,0.371069,7.923,8.14,8.522,8.523,8.536,8.668
A_51_P128075,Tescl,NM_001163810,0.3710693,7.324,6.02,6.177,9.639,8.806,6.866
A_51_P310862,Zfp455,NM_001048204,0.3710693,8.255,8.219,7.942,8.344,8.39,8.319
A_52_P179011,6330408A02Rik,NM_177312,0.3710693,8.068,8.404,8.345,8.407,8.926,8.634
A_52_P25251,Plppr1,NM_178756,0.3710693,7.815,7.452,7.472,7.48,6.626,6.866
A_52_P434769,Camta1,NM_001195565,0.3710693,10.603,10.344,10.554,10.563,10.914,10.928
A_52_P598128,Lgals8,NM_018886,0.3710693,10.715,11.262,11.135,11.158,12.028,12.106
A_52_P611610,Cacna1g,NM_009783,0.3710693,7.683,7.647,7.94,7.873,10.9,10.559
A_51_P288390,Pick1,NM_008837,0.3710952,12.633,13.05,12.636,13.096,13.239,12.978
A_52_P243553,Phc1,NM_007905,0.3712282,10.559,10.915,11.103,11.08,11.322,11.287
A_51_P480904,Blmh,NM_178645,0.3712343,11.377,11.161,11.215,11.378,11.79,11.471
A_51_P154983,Zfp296,NM_022409,0.3712448,7.591,7.854,8.269,8.054,9.54,9.23
A_51_P304125,Slc29a2,NM_007854,0.3712448,9.553,9.074,8.961,9.366,9.942,9.949
A_51_P501922,Plxna1,NM_008881,0.3712448,8.665,8.734,8.458,8.681,9.602,9.428
A_52_P214573,Lysmd3,AK003980,0.3712448,7.777,8.108,7.83,7.984,8.685,8.889
A_52_P383850,Poll,NM_020032,0.3712448,9.043,8.85,9.323,9.161,10.307,10.374
A_52_P416147,Rad23b,NM_009011,0.3712448,10.078,9.905,10.442,9.706,9.656,9.932
A_52_P570583,Anapc15,NM_027532,0.3712448,9.526,9.555,9.588,10.127,9.779,9.657
A_52_P97133,Mapk8ip3,AK035619,0.3712448,6.885,7.022,6.872,7.011,7.656,7.323
A_51_P418560,Lnx2,NM_080795,0.3715156,8.421,9.074,8.712,8.886,10.493,10.092
A_52_P576041,Rgl1,NM_016846,0.3715156,13.034,13.087,12.723,12.864,11.73,11.493
A_52_P625061,Nudt16,NM_029385,0.3715156,9.441,9.319,9.155,9.503,9.603,9.424
A_51_P453088,Coa6,NM_174987,0.3715247,11,11.201,11.223,11.381,11.229,11.553
A_52_P158710,Dcbld1,NM_025705,0.3715247,9.497,9.391,9.303,9.444,10.278,10.11
A_52_P265051,Sertm1,NM_177854,0.3715247,12.396,12.406,12.38,12.297,9.326,9.511
A_52_P518715,Nsf,NM_008740,0.3715247,15.714,15.545,16.17,14.784,15.215,15.574
A_52_P440034,Dydc2,AK016963,0.3715447,7.506,7.877,8.349,8.446,8.299,8.65
A_52_P164136,Arrdc3,NM_001042591,0.3715448,11.064,11.429,11.058,11.299,11.667,11.767
A_52_P434820,Gnpda2,NM_001038015,0.3716152,9.149,9.296,9.418,9.356,10.036,10.286
A_52_P6404,Bptf,NM_176850,0.3716152,8.518,8.271,8.407,8.463,9.076,9.315
A_51_P186510,Sebox,NM_008759,0.3716667,8.092,8.016,7.96,8.063,9.093,8.962
A_51_P438640,Acap2,NM_030138,0.3716667,12.317,12.559,12.204,12.292,10.996,11.04
A_52_P170538,Adamts14,NM_001081127,0.3716872,7.239,7.342,7.079,7.301,8.067,7.776
A_51_P108701,Psmc2,NM_011188,0.3717571,14.692,14.752,14.777,14.885,15.332,14.92
A_51_P159367,Myo16,BC082311,0.3717571,7.994,7.852,7.634,7.926,8.49,8.799
A_51_P256407,Muc6,NM_181729,0.3717571,6.624,6.793,6.708,6.791,7.322,7.025
A_51_P368483,1700123O20Rik,NM_021437,0.3717571,10.318,10.224,10.715,10.846,10.648,10.776
A_51_P421303,Caly,NM_026769,0.3717571,15.794,15.401,15.584,15.513,14.027,14.229
A_51_P426458,Ube2d2a,NM_019912,0.3717571,13.08,12.994,12.619,12.635,12.49,12.63
A_51_P450812,Cog4,NM_133973,0.3717571,11.176,10.969,11.713,11.499,12.407,12.147
A_51_P495710,,,0.3717571,6.71,6.612,6.718,6.746,7.314,7.032
A_52_P207132,Plcxd3,NM_177355,0.3717571,8.709,8.257,8.861,8.734,10.144,10.412
A_52_P38128,6030443J06Rik,AK006545,0.3717571,6.604,6.688,6.717,6.691,7.05,7.036
A_52_P383066,Il15,AB022307,0.3717571,6.803,6.926,6.728,6.879,7.906,7.639
A_52_P413626,,,0.3717571,9.426,9.387,9.118,9.761,9.545,9.457
A_52_P635182,Rras,NM_009101,0.3717571,10.488,10.121,10.262,10.36,11.154,11.107
A_52_P640484,Trim21,NM_009277,0.3717571,7.398,7.682,7.665,7.696,8.108,7.886
A_52_P657844,Zbtb20,AK038731,0.3717571,14.2,14.086,13.665,13.841,13.254,13.052
A_52_P915402,A830091E24,AK044111,0.3717571,7.499,8.06,7.62,7.851,8.822,9.043
A_51_P119771,Il17re,NM_145826,0.3718889,7.224,7.29,8.024,7.673,9.788,9.772
A_51_P147766,Cpne9,NM_170673,0.3718889,10.287,10.641,10.642,10.615,12.629,12.352
A_51_P240476,Dnah11,NM_010060,0.3718889,7.481,7.603,8.279,8.001,8.881,9.079
A_51_P296249,Foxs1,NM_010226,0.3718889,7.461,7.246,7.336,7.392,7.988,7.874
A_51_P355151,Camk2n2,NM_028420,0.3718889,14.675,14.768,15.234,15.008,16.126,16.066
A_51_P399889,Ap4b1,NM_026193,0.3718889,11.794,12.229,11.856,12.28,12.186,12.291
A_51_P405135,Prrc2c,NM_001081290,0.3718889,10.504,10.842,10.658,10.582,9.772,10.03
A_51_P415905,Pola1,NM_008892,0.3718889,8.811,8.76,9.405,9.189,9.787,9.969
A_51_P437697,Hax1,NM_011826,0.3718889,13.036,13.367,13.198,13.269,13.89,13.793
A_51_P452280,Cmc4,NM_010839,0.3718889,10.446,10.221,10.395,10.483,10.6,10.94
A_51_P481489,Robo3,NM_001164767,0.3718889,10.711,10.943,10.13,10.431,6.978,7.311
A_51_P507942,Atp13a2,NM_029097,0.3718889,14.26,14.47,14.851,14.67,15.334,15.377
A_52_P145975,Dync1li2,NM_001013380,0.3718889,14.06,14.129,13.774,14.067,14.685,14.612
A_52_P189246,Mtm1,BC066847,0.3718889,6.485,6.627,6.815,6.707,7.625,7.78
A_52_P260818,Card10,NM_130859,0.3718889,9.761,9.418,8.542,9.758,10.274,10.172
A_52_P46588,A630072M18Rik,NR_030699,0.3718889,8.007,8.027,7.706,7.82,6.905,7.204
A_52_P529013,Paip2b,NM_146169,0.3718889,6.996,7.054,7.496,7.572,7.402,7.705
A_52_P540462,Lyrm9,NM_001076681,0.3718889,10.284,9.985,10.791,10.682,10.96,11.42
A_52_P92472,,,0.3718889,7.564,7.389,7.279,7.471,8.969,8.964
A_52_P214851,Smndc1,NM_172429,0.3718931,11.398,11.527,11.485,11.514,11.612,11.707
A_52_P146485,Chd3,NM_146019,0.3719651,14.851,14.226,14.761,14.447,13.489,13.714
A_51_P182662,Nck1,NM_010878,0.3720542,11.231,11.23,11.282,11.276,12.125,12.18
A_51_P164667,H3f3b,NM_008211,0.372099,15.373,15.789,15.494,15.699,16.861,16.341
A_51_P354062,Ptgfrn,NM_011197,0.3721218,6.658,6.61,6.566,6.65,7.394,7.193
A_52_P201315,B3gat3,AK079723,0.3721218,7.816,7.673,8.343,8.208,8.682,9.3
A_51_P244333,,,0.3721444,6.717,6.576,6.702,6.729,6.966,7.204
A_51_P506328,Cyp2j6,NM_010008,0.3721444,9.258,9.206,9.4,9.681,9.336,9.822
A_52_P107354,Eif2s2,NM_026030,0.3721444,13.794,14.018,13.623,13.921,14.289,14.248
A_52_P78023,Limd2,NM_172397,0.3721444,16.011,16.308,16.117,16.062,14.091,13.814
A_51_P118132,Skil,NM_011386,0.3721482,12.609,13.021,12.337,12.53,11.106,11.106
A_51_P137789,Ccser1,AK031754,0.3721482,6.455,6.658,6.485,7.631,6.888,6.789
A_51_P169176,Clk3,NM_007713,0.3721482,13.557,13.814,13.809,13.82,14.239,14.047
A_51_P258281,Gal,NM_010253,0.3721482,9.095,9.215,9.021,9.175,11.026,11.167
A_51_P293307,Hepacam,NM_175189,0.3721482,12.582,12.985,12.769,12.914,13.498,13.207
A_51_P361675,Dopey1,NM_177208,0.3721482,6.798,6.663,6.737,6.758,7.227,7.279
A_51_P396385,Mars2,NM_175439,0.3721482,7.306,7.143,7.002,7.38,7.52,7.267
A_51_P402617,Nkx6-2,NM_183248,0.3721482,12.659,12.639,12.589,12.68,13.889,14.129
A_51_P417600,Npbwr1,NM_010342,0.3721482,6.629,6.667,6.459,6.708,7.23,6.865
A_51_P480233,Nmral1,NM_026393,0.3721482,11.233,11.327,10.98,11.34,11.631,11.417
A_51_P502456,H2-K2,NR_004446,0.3721482,10.731,10.378,10.537,10.624,12.635,12.497
A_51_P521056,Socs6,NM_018821,0.3721482,9.505,9.585,9.345,9.566,9.692,9.69
A_52_P16166,Mcm9,NM_027830,0.3721482,6.905,6.86,6.949,6.939,7.994,7.88
A_52_P230167,Setbp1,NM_053099,0.3721482,10.357,11.369,10.561,10.177,9.954,10.167
A_52_P477804,Rfx3,NM_011265,0.3721482,10.282,10.463,9.566,9.925,8.187,8.138
A_52_P535790,Fip1l1,NM_024183,0.3721482,8.428,8.363,8.121,8.191,8.038,7.961
A_52_P552547,Lppos,NR_037954,0.3721482,10.082,9.968,9.557,10.274,10.335,10.094
A_52_P588483,Fbln1,NM_010180,0.3721482,10,10.221,10.192,10.61,10.593,10.184
A_52_P7610,Slc8a3,NM_080440,0.3721482,8.342,8.456,8.083,8.412,10.534,9.967
A_51_P114067,Ncs1,AK042865,0.3722176,8.095,7.923,7.886,8.061,11.144,11.345
A_51_P120785,Magea7-ps,BC127031,0.3722176,8.139,8.728,7.908,8.46,9.451,9.375
A_51_P121466,Tab1,NM_025609,0.3722176,11.744,11.854,12.27,12.054,13.667,13.516
A_51_P127976,Zcrb1,NM_026025,0.3722176,13.148,12.997,13.337,13.509,13.258,13.594
A_51_P132081,Rsl1,NM_001013769,0.3722176,8.767,9.029,8.94,9.166,9.248,8.993
A_51_P155763,Ascc3,NM_198007,0.3722176,6.707,6.432,6.983,6.952,7.073,7.161
A_51_P171832,Nrgn,NM_022029,0.3722176,17.469,17.469,17.331,17.317,13.475,13.568
A_51_P172131,Lurap1l,NM_026821,0.3722176,12.063,11.816,11.39,11.614,10.49,10.167
A_51_P179241,Tssc4,NM_020285,0.3722176,12.52,12.29,12.643,12.548,13.334,13.296
A_51_P198179,Tor3a,NM_023141,0.3722176,8.653,8.464,9.257,9.008,9.857,9.756
A_51_P241426,Gfra4,NM_020014,0.3722176,11.768,10.976,10.698,10.813,10.046,9.966
A_51_P247249,Alox5,NM_009662,0.3722176,7.708,7.978,7.935,8.089,7.985,8.151
A_51_P271563,Kif2a,NM_008442,0.3722176,12.087,12.013,11.848,11.938,11.218,11.119
A_51_P295215,Alkbh5,NM_172943,0.3722176,11.014,11.681,11.783,11.804,12.177,12.209
A_51_P300655,Tbccd1,NM_001081368,0.3722176,9.467,9.951,9.567,9.853,10.102,10.072
A_51_P313093,Ick,AK008991,0.3722176,7.233,7.292,7.079,7.278,7.953,7.655
A_51_P318551,Nle1,NM_145431,0.3722176,8.531,8.178,8.637,8.547,9.849,9.57
A_51_P326699,Epha6,U58332,0.3722176,8.466,8.802,8.171,8.362,7.15,6.972
A_51_P331798,Pip5kl1,NM_198191,0.3722176,6.526,6.716,6.874,6.829,7.64,8.176
A_51_P339055,Nipal2,NM_145469,0.3722176,7.05,7.006,7.052,7.083,8.772,8.858
A_51_P340747,Hspa1l,NM_013558,0.3722176,6.775,6.681,6.446,6.738,7.418,7.12
A_51_P352981,5230400M03Rik,AK030345,0.3722176,6.712,7.064,6.61,6.905,7.536,7.77
A_51_P355693,Nr3c1,NM_008173,0.3722176,9.032,8.897,8.251,8.346,8.093,8.161
A_51_P362661,Spin4,NM_178753,0.3722176,7.341,7.187,7.208,7.277,8.11,8.034
A_51_P373226,Arl2,NM_019722,0.3722176,11.675,11.564,11.972,11.811,12.743,12.765
A_51_P392967,Zmynd10,NM_053253,0.3722176,9.108,9.283,9.359,9.199,8.346,8.185
A_51_P394354,Fam213a,NM_027464,0.3722176,15.796,16.197,16.055,16.465,16.514,16.126
A_51_P405227,Nradd,NM_026012,0.3722176,7.657,7.583,7.236,7.672,8.242,7.879
A_51_P418526,Sfxn1,NM_027324,0.3722176,12.282,11.849,12.12,12.474,12.398,12.26
A_51_P419959,Eaf1,NM_028932,0.3722176,9.26,9.482,9.295,9.401,10.013,9.837
A_51_P424868,Mid1ip1,NM_026524,0.3722176,13.467,13.722,13.847,13.766,15.272,14.924
A_51_P425167,Vat1l,NM_173016,0.3722176,9.358,9.787,10.249,9.95,12.281,12.303
A_51_P428364,Psma6,NM_011968,0.3722176,14.098,13.911,14.005,14.592,14.348,14.071
A_51_P463348,E4f1,NM_007893,0.3722176,11.407,11.399,11.633,11.532,11.992,12.092
A_51_P464558,Chst9,NM_199055,0.3722176,7.745,8.045,7.945,7.842,6.801,7.061
A_51_P467505,Tec,NM_001113460,0.3722176,7.485,7.213,7.626,7.532,8.25,8.114
A_51_P491667,Derl3,NM_024440,0.3722176,7.557,7.317,7.978,7.959,8.177,7.994
A_51_P498293,Fam84a,NM_029007,0.3722176,13.438,13.613,12.068,12.571,11.084,11.2
A_51_P517012,Tysnd1,NM_027912,0.3722176,12.123,12.352,12.224,12.367,13.152,12.667
A_52_P1116138,Ubxn7,NM_177633,0.3722176,6.77,6.661,6.715,6.741,7.262,7.369
A_52_P143357,,,0.3722176,9.766,9.49,9.254,9.593,10.899,10.771
A_52_P208649,Cartpt,NM_013732,0.3722176,8.559,8.216,9.287,8.924,10.315,10.533
A_52_P232935,2010107G23Rik,NM_027251,0.3722176,10.569,10.295,10.114,10.42,11.382,11.187
A_52_P240610,Lyrm1,NM_029610,0.3722176,9.186,9.272,9.237,9.487,9.306,9.308
A_52_P265996,Tenm4,AK031375,0.3722176,6.737,6.666,6.451,6.685,7.083,7.209
A_52_P270446,Taok1,NM_144825,0.3722176,12.987,12.725,13.329,14.204,13.283,13.571
A_52_P315236,,,0.3722176,7.467,7.668,7.403,7.571,8.2,8.394
A_52_P330314,Lmo4,AK033097,0.3722176,9.889,10.247,10.379,10.078,8.933,9.063
A_52_P351785,Tfam,NM_009360,0.3722176,9.06,9.318,8.781,9.162,10.098,9.977
A_52_P359257,5830408C22Rik,AK037533,0.3722176,8.338,7.718,7.792,7.801,6.9,6.967
A_52_P362403,Dppa5a,NM_025274,0.3722176,8.854,9.076,9.63,9.396,10.145,10.445
A_52_P364130,Map3k14,NM_016896,0.3722176,8.49,8.715,8.38,8.585,9.458,9.475
A_52_P407968,St3gal6,AK006263,0.3722176,7.159,7.317,7.278,7.288,7.891,7.753
A_52_P479269,Sdc1,NM_011519,0.3722176,6.647,6.719,6.761,6.817,9.451,8.812
A_52_P485939,Slc39a8,NM_026228,0.3722176,7.448,7.911,7.641,7.805,8.146,8.153
A_52_P545010,Slc39a11,NM_027216,0.3722176,11.303,11.594,11.553,11.647,11.839,11.654
A_52_P602018,Tor1aip1,NM_001160018,0.3722176,10.465,10.273,9.664,10.648,10.639,10.623
A_52_P603630,A830054O04Rik,AK043939,0.3722176,7.041,8.025,6.856,8.24,8.072,7.94
A_52_P613653,Tmem41b,NM_153525,0.3722176,8.451,8.195,7.99,8.337,8.912,8.741
A_52_P663526,Nmrk1,NM_145497,0.3722176,8.703,8.953,8.946,9.028,9.089,9.017
A_52_P669964,Cchcr1,NM_146248,0.3722176,7.171,7.315,7.232,7.27,8.109,8.176
A_52_P868419,Fbxo32,NM_026346,0.3722176,7.683,7.977,7.914,7.919,8.815,8.635
A_52_P948095,Rian,AK086774,0.3722176,6.247,6.586,6.691,6.789,6.724,6.937
A_51_P103929,Met,NM_008591,0.372388,6.681,6.492,6.56,6.873,7.162,6.663
A_51_P125446,Lzic,NM_026963,0.372388,9.465,9.536,9.472,9.523,10.067,9.89
A_51_P136361,Mppe1,NM_172630,0.372388,12.048,12.31,12.058,12.299,12.291,12.406
A_51_P152199,Arpc2,NM_029711,0.372388,14.292,13.781,13.936,13.885,12.99,13.221
A_51_P158598,Scrn2,NM_146027,0.372388,6.924,6.685,7.233,7.039,8.544,8.44
A_51_P170946,Hnrnpm,NM_029804,0.372388,14.625,15.14,14.61,15.075,15.299,15.157
A_51_P182296,Ccdc53,NM_026070,0.372388,11.175,11.584,11.505,12.029,11.762,11.589
A_51_P192130,Stk10,NM_009288,0.372388,9.232,9.024,9.49,9.341,11.081,10.734
A_51_P201609,Rnf26,NM_153762,0.372388,12.178,12.081,12.431,12.297,13.203,13.044
A_51_P211506,Muc20,NM_146071,0.372388,7.878,8.188,7.692,8.109,8.496,8.292
A_51_P219721,Ola1,NM_025942,0.372388,13.798,14.191,14.142,13.814,13.798,13.733
A_51_P227785,Klhl3,AK033046,0.372388,10.634,11.175,10.87,10.805,9.468,9.434
A_51_P228295,Mpzl1,NM_001001880,0.372388,12.491,12.415,12.833,12.661,13.536,13.455
A_51_P228658,Isyna1,NM_023627,0.372388,11.08,10.483,11.344,11.156,12.29,12.428
A_51_P241465,Gsn,NM_146120,0.372388,14.344,14.703,14.853,14.729,15.701,15.621
A_51_P252596,Sorbs2,AK084625,0.372388,6.725,6.702,6.64,6.492,6.538,6.67
A_51_P254912,Rfc2,NM_020022,0.372388,11.053,10.582,11.091,11.029,11.817,11.746
A_51_P257457,Ltbp2,NM_013589,0.372388,6.327,6.633,6.451,6.601,11.59,11.014
A_51_P266695,Peli3,NM_172835,0.372388,8.592,8.589,8.918,8.772,9.628,9.481
A_51_P273213,Grhl1,NM_145890,0.372388,10.491,10.82,10.81,10.623,7.736,7.891
A_51_P277006,Chst8,NM_175140,0.372388,12.708,12.459,13.25,13.479,13.207,13.268
A_51_P280304,Twf2,NM_011876,0.372388,13.939,13.858,13.945,13.89,13.536,13.425
A_51_P289066,Pcdhb10,NM_053135,0.372388,8.309,7.878,7.987,8.169,8.697,8.599
A_51_P308898,Camk1g,NM_144817,0.372388,10.817,10.457,10.731,10.751,11.199,11.251
A_51_P338461,Numa1,NM_133947,0.372388,13.345,13.897,14.178,14.041,14.831,14.688
A_51_P342189,,,0.372388,6.667,6.784,6.636,6.783,7.193,6.914
A_51_P354757,Cd164l2,NM_027152,0.372388,7.746,7.865,7.515,7.83,8.61,8.223
A_51_P356568,Exd2,NM_133798,0.372388,10.917,10.945,10.213,10.298,10.136,10.103
A_51_P368160,Flna,NM_010227,0.372388,7.273,6.992,7.241,7.302,8.105,7.648
A_51_P369796,Zfp160,NM_145483,0.372388,9.31,9.635,9.061,9.024,8.457,8.988
A_51_P371770,Poc1a,NM_027354,0.372388,6.731,6.42,6.544,6.646,6.918,6.965
A_51_P377390,Ndst2,NM_010811,0.372388,10.352,10.04,10.117,10.253,10.585,10.756
A_51_P379318,Olfr127,NM_146377,0.372388,7.248,7.63,6.708,6.607,6.72,6.579
A_51_P390354,Nkpd1,NM_027116,0.372388,7.187,7.191,7.347,7.279,8.604,8.647
A_51_P390496,Stard7,NM_139308,0.372388,12.799,12.444,12.814,12.375,12.521,12.328
A_51_P417839,Hdac4,NM_207225,0.372388,11.436,11.304,10.982,11.145,10.505,10.513
A_51_P431870,Map1s,NM_173013,0.372388,12.8,12.159,12.197,11.733,12.072,11.926
A_51_P441022,Smad3,NM_016769,0.372388,7.905,7.881,7.489,7.608,7.267,6.95
A_51_P450740,Ptpn21,NM_011877,0.372388,7.93,8.068,8.104,8.075,9.403,9.284
A_51_P457054,Pank4,NM_172990,0.372388,12.326,11.856,12.216,12.215,13.251,13.303
A_51_P459787,Klhl23,NM_177784,0.372388,7.049,7.227,6.801,7.179,7.721,7.418
A_51_P462047,Prpf38a,NM_172697,0.372388,12.255,12.57,12.004,12.5,12.766,12.691
A_51_P473428,Gsc2,AK016252,0.372388,6.817,6.974,6.773,6.931,7.451,7.191
A_51_P487869,Cyp4f16,NM_024442,0.372388,7.576,7.578,7.592,7.614,8.77,8.914
A_51_P501312,Natd1,NM_025294,0.372388,11.165,11.289,12.104,11.781,12.784,12.729
A_51_P514351,Xlr,NM_011725,0.372388,7.742,7.872,7.622,7.875,8.007,7.878
A_51_P519950,Rsbn1l,NM_001080977,0.372388,8.226,8.304,7.909,8.712,8.454,8.314
A_52_P1069274,,BU512393,0.372388,6.664,6.888,6.468,6.781,7.278,7.553
A_52_P1107346,2610002M06Rik,NM_025921,0.372388,10.718,11.388,11.286,11.482,11.62,11.613
A_52_P110999,Wwp2,NM_025830,0.372388,8.515,8.412,8.813,8.656,10.441,10.212
A_52_P141608,Tmem252,NM_183160,0.372388,7.859,7.261,7.216,7.893,7.968,7.8
A_52_P141786,Ndfip2,NM_029561,0.372388,12.027,12.289,12.424,12.384,13.278,12.837
A_52_P155849,Arl4a,NM_001039515,0.372388,9.692,10.455,10.073,10.599,10.671,10.404
A_52_P186785,,BG079886,0.372388,8.731,9.433,9.988,10.195,10.403,12.301
A_52_P227833,Slc6a11,NM_172890,0.372388,7.126,6.671,6.943,6.988,8.285,8.2
A_52_P238479,March11,NM_177597,0.372388,10.178,10.1,9.818,10.095,12.016,11.937
A_52_P250803,Arl5b,AK164977,0.372388,12.026,12.417,12.025,12.284,12.852,12.642
A_52_P256421,,,0.372388,6.645,6.613,6.502,6.611,7.126,7.092
A_52_P261846,Col18a1,NM_009929,0.372388,7.401,7.144,7.964,7.632,10.181,10.258
A_52_P278581,,BC029005,0.372388,7.493,7.282,6.69,6.679,6.575,6.697
A_52_P28624,Gm5589,BC080727,0.372388,8.754,8.908,8.856,9.043,9.161,9.796
A_52_P292959,Slk,NM_009289,0.372388,9.68,9.785,9.039,8.816,9.201,8.847
A_52_P320044,,,0.372388,12.073,12.27,12.069,12.093,11.353,11.511
A_52_P325678,Arglu1,NM_176849,0.372388,9.702,10.52,9.879,9.755,9.116,9.285
A_52_P327118,Ttc12,NM_172770,0.372388,7.559,7.706,7.784,7.726,8.672,8.528
A_52_P333289,Adam33,NM_033615,0.372388,6.495,6.466,6.682,6.588,7.184,7.281
A_52_P351116,Igf1,NM_010512,0.372388,7.898,8.026,7.782,7.786,7.311,7.633
A_52_P354509,Klhdc8a,NM_144810,0.372388,8.251,8.291,8,8.268,11.461,11.412
A_52_P390944,Chst3,NM_016803,0.372388,8.628,8.597,8.803,8.763,9.992,9.544
A_52_P408133,Rab8b,NM_173413,0.372388,7.786,8.127,7.684,7.625,7.595,7.236
A_52_P408237,Sestd1,NM_175465,0.372388,11.38,11.901,11.673,11.81,12.178,12.173
A_52_P413584,Nrip1,AK078829,0.372388,9.216,9.542,8.981,8.853,8.708,9.021
A_52_P414464,Rcan2,NM_207649,0.372388,14.311,15.092,13.962,15.012,15.17,15.341
A_52_P426698,Sema3b,NM_001042779,0.372388,8.963,9.094,9.622,9.39,10.184,10.13
A_52_P444849,Yme1l1,NM_013771,0.372388,9.904,10.292,9.935,9.738,9.856,9.426
A_52_P462986,,,0.372388,8.684,8.764,8.484,8.412,7.139,7.995
A_52_P505218,Stat1,NM_009283,0.372388,10.777,11.096,11.448,11.252,12.179,12.065
A_52_P549184,Adgrg2,NM_178712,0.372388,7.585,8.005,7.647,7.974,7.992,8.205
A_52_P550491,Tubgcp4,NM_153387,0.372388,7.961,7.6,7.851,7.898,8.478,8.292
A_52_P558502,Il16,AK038014,0.372388,7.901,7.491,7.274,7.655,10.117,10.128
A_52_P579726,Atg12,NM_026217,0.372388,9.625,9.558,9.536,10.126,10.077,9.59
A_52_P600518,Tsc22d3,NM_001077364,0.372388,12.054,11.824,11.676,11.917,12.818,12.954
A_52_P625880,Tmem209,AK029366,0.372388,7.912,8.211,8.271,8.269,8.686,8.456
A_52_P91293,Nmnat1,AK152407,0.372388,9.674,9.692,9.967,9.841,10.632,10.835
A_52_P947534,C77370,NM_001077354,0.372388,11.363,11.34,11.46,11.243,9.146,9.981
A_51_P244213,Hapln3,NM_178255,0.3724013,8.914,9.186,9.193,9.184,10.049,9.725
A_51_P101985,,,0.372474,7.786,7.405,7.446,7.369,6.998,7.258
A_51_P159503,,,0.372474,9.114,9.877,9.624,9.732,10.545,10.451
A_51_P249385,Mroh1,NM_175457,0.372474,12.784,13.129,13.939,13.523,15.119,15.221
A_51_P365222,Eif3e,NM_008388,0.372474,12.867,12.778,13.043,12.751,12.086,12.542
A_51_P398191,Auts2,NM_177047,0.372474,13.064,13.623,12.575,12.734,12.164,12.126
A_51_P424471,Cnih3,NM_028408,0.372474,10.714,10.188,11.099,10.476,9.3,9.076
A_51_P425279,Izumo4,AK018541,0.372474,7.246,7.332,7.275,7.341,7.406,7.586
A_51_P438619,Sobp,NM_175407,0.372474,15.114,15.409,14.855,14.971,14.555,14.366
A_51_P447248,Aqp11,NM_175105,0.372474,11.565,11.686,11.843,11.643,10.629,10.385
A_51_P448044,,AK079181,0.372474,7.895,8.6,7.851,8.262,9.852,10.07
A_51_P471219,6430571L13Rik,NM_175486,0.372474,6.709,6.737,6.992,6.889,10.096,10.064
