Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_51_P259848,Ccdc32,AK040670,0.5819852,6.551,6.709,6.544,6.778,6.654,6.602
A_52_P469956,Zc3h6,NM_178404,0.5819852,9.442,8.793,10.189,10.125,9.472,10.277
A_52_P36293,Mob1b,AK048590,0.5820863,9.927,10.065,9.16,9.371,9.437,9.476
A_51_P357996,Defb3,NM_013756,0.5822815,6.934,7.157,6.936,6.951,7.613,7.114
A_52_P867124,Tpm3,AK040628,0.5823044,7.585,7.37,7.077,7.404,7.403,7.916
A_52_P644297,,AK039784,0.5823272,7.2,7.258,7.022,6.677,7.063,7.208
A_51_P341349,Mtap,NM_024433,0.5823759,9.232,8.902,8.814,8.708,9.725,9.554
A_51_P485391,Parn,NM_028761,0.5824363,10.529,10.512,10.692,10.236,11.251,11.351
A_52_P493747,Wdr13,NM_026137,0.5824839,7.777,8.118,8.075,7.458,8.116,7.725
A_52_P650325,Slc35e1,NM_177766,0.582535,9.124,9.171,9.206,8.889,9.765,9.724
A_51_P426633,Dnttip2,NM_153806,0.582602,12.823,13.073,12.947,12.875,13.283,13.109
A_52_P680710,Kpna3,NM_008466,0.582602,12.441,12.878,12.088,12.347,12.297,11.98
A_51_P201445,,,0.5826132,7.303,7.38,6.816,7.275,7.315,7.484
A_51_P309501,Praf2,NM_138602,0.5826323,11.486,10.655,11.108,11.113,11.495,11.467
A_52_P593853,4933402P03Rik,NM_175368,0.5830391,6.805,6.312,6.99,6.725,6.959,7.145
A_51_P331279,Arpc1b,NM_023142,0.5831054,12.662,12.857,12.565,12.638,12.38,12.678
A_52_P503384,Slc4a1ap,NM_009206,0.5831101,7.613,7.76,7.614,7.854,7.578,7.893
A_52_P144858,Kpna3,NM_008466,0.5831305,8.71,8.112,9.057,8.638,9.106,9.104
A_51_P441469,Jmy,NM_021310,0.5832148,7.997,7.918,7.486,7.779,7.402,7.63
A_52_P547000,,,0.5832148,12.841,11.85,12.459,13.235,12.388,12.69
A_51_P169281,Tmem132a,NM_133804,0.5833054,14.516,14.673,14.779,14.24,15.564,15.504
A_51_P513979,Spaca9,NM_027283,0.5833054,8.556,8.551,9.548,8.901,8.356,8.191
A_51_P188085,Rabgap1,NM_001033960,0.5833368,6.529,6.649,6.595,6.571,6.65,6.723
A_51_P184928,,,0.5833381,10.206,9.753,9.574,10.054,10.106,9.962
A_52_P453650,1500011K16Rik,NR_015476,0.5834515,12.815,12.248,12.838,13.286,12.597,12.868
A_51_P228632,Rap1a,NM_145541,0.5835138,13.181,13.615,13.208,13.198,13.086,13.263
A_52_P542013,Dock6,NM_177030,0.5835138,8.039,7.922,8.039,7.854,8.308,8.323
A_51_P282983,Slc39a14,NM_144808,0.5835461,9.505,9.624,8.909,9.424,8.655,9.001
A_52_P120093,Magea5,NM_020018,0.5835461,6.786,6.675,6.423,6.466,7.319,6.92
A_51_P235244,Dnmbp,AK129261,0.5835741,8.499,8.157,8.877,8.339,9.243,8.99
A_51_P149469,Actc1,NM_009608,0.5836252,8.386,8.634,8.172,8.063,8.353,8.288
A_51_P387971,Ssh3,NM_198113,0.5836499,8.356,8.183,7.843,7.344,8.036,8.121
A_51_P160198,Nos1,NM_008712,0.5836637,7.245,7.14,6.997,6.658,7.075,7.139
A_52_P230921,Ccny,NM_026484,0.5836637,12.698,12.577,12.467,12.41,13.08,12.895
A_52_P445746,B430319G15Rik,NR_029474,0.5836637,6.607,6.853,6.605,6.956,6.656,6.818
A_52_P214624,Gapvd1,AK033450,0.5837716,10.84,10.893,10.555,11.162,10.737,10.886
A_52_P535255,Syf2,NM_026780,0.5840195,10.547,10.879,11.05,10.895,10.887,11.324
A_51_P275407,Phactr2,NM_001033257,0.5841142,8.833,9.247,9.245,8.925,9.74,9.511
A_52_P110002,Fam136a,NM_025591,0.5841142,10.528,10.594,10.6,10.785,10.212,10.022
A_52_P475450,Rbm48,NM_172991,0.5842206,7.526,7.704,8.021,8.354,7.696,7.935
A_51_P175699,Mtfp1,NM_026443,0.5842329,14.89,14.91,15.592,15.323,14.465,14.495
A_51_P162144,Oca2,NM_021879,0.584263,7.138,7.949,8.532,7.834,7.23,7.161
A_51_P226655,Pltp,NM_011125,0.584263,10.224,8.842,9.676,9.322,10.858,10.416
A_51_P380153,Ubr4,NM_001160319,0.584263,13.535,14.005,13.655,13.458,14.566,14.268
A_51_P365202,Zfp560,NM_001004190,0.5842684,6.918,7.955,6.593,6.705,6.747,6.761
A_52_P524772,Wscd2,NM_177292,0.5843331,7.413,7.109,7.138,6.884,8.473,7.733
A_51_P102503,Metap1,NM_175224,0.5843801,11.971,11.906,12.127,12.148,11.541,11.734
A_51_P311945,Oaz2,NM_010952,0.5843801,13.717,13.617,13.712,13.491,13.494,13.766
A_51_P321579,Chd5,NM_029216,0.5843801,10.124,9.938,11.148,9.996,9.658,10.284
A_51_P325223,Lin7b,NM_011698,0.5843801,12.863,12.409,12.569,12.876,11.777,12.119
A_51_P463912,Tenm1,NM_011855,0.5843801,10.475,9.822,11.424,9.936,12.226,12.329
A_52_P372046,Cd99,NM_025584,0.5843801,10.96,10.513,10.478,10.27,11.601,11.444
A_51_P132549,Trip10,NM_134125,0.5844249,9.628,10.015,9.985,9.536,9.868,9.744
A_51_P300726,Sigmar1,NM_011014,0.5844249,9.24,8.392,8.684,8.599,9.489,9.365
A_51_P407866,1700020D05Rik,NM_023781,0.5844249,8.89,9.426,9.379,9.409,8.535,8.807
